client,Recency,Frequency,Monetary,total_quantity,avg_check,total_unique_items,avg_items_per_visit,weekend_visits,amount_last_visit,relative_value_pct,event
client10042,486.0,1.0,3766.0,21.0,3766.0,14.0,21.0,0.0,299.0,0.09687935793115494,False
client10043,112.0,1.0,274.0,2.0,274.0,2.0,2.0,2.0,225.0,0.007048577820800971,False
client10044,504.0,1.0,548.0,1.0,548.0,1.0,1.0,1.0,548.0,0.014097155641601942,False
client10045,49.0,2.0,930.0,35.0,465.0,5.0,17.5,2.0,465.0,0.023924005012207674,False
client10046,233.0,1.0,1596.0,4.0,1596.0,1.0,4.0,0.0,1596.0,0.04105667956933704,False
client10047,108.0,1.0,4399.0,1.0,4399.0,1.0,1.0,0.0,4399.0,0.11316311618139953,False
client10048,35.0,6.0,27111.0,47.0,4518.5,27.0,7.833333333333333,12.0,2499.0,0.6974233332107121,True
client10049,37.0,8.0,13250.0,44.0,1656.25,19.0,5.5,3.0,59.0,0.3408527595825287,False
client1005,266.0,5.0,5276.0,87.0,1055.2,57.0,17.4,11.0,49.0,0.1357237101552771,False
client10050,87.0,12.0,16405.0,80.0,1367.0833333333333,71.0,6.666666666666667,18.0,15.0,0.42201430346802893,False
client10051,127.0,4.0,42334.0,162.0,10583.5,51.0,40.5,26.0,399.0,1.0890309980503223,False
client10052,64.0,1.0,8047.0,3.0,8047.0,3.0,3.0,3.0,649.0,0.20700695519702705,False
client10053,18.0,31.0,13323.0,263.0,429.7741935483871,151.0,8.483870967741936,61.0,99.0,0.3427306653523041,True
client10054,180.0,1.0,1059.0,1.0,1059.0,1.0,1.0,0.0,1059.0,0.02724249603003003,False
client10055,351.0,8.0,7057.0,30.0,882.125,8.0,3.75,4.0,1260.0,0.18153946599048337,False
client10056,302.0,1.0,1106.0,4.0,1106.0,2.0,4.0,2.0,207.0,0.028451558648926546,False
client10057,354.0,1.0,638.0,2.0,638.0,2.0,2.0,0.0,499.0,0.01641238193310591,False
client10058,453.0,1.0,1254.0,9.0,1254.0,5.0,9.0,0.0,359.0,0.03225881966162196,False
client10059,54.0,6.0,8184.0,64.0,1364.0,29.0,10.666666666666666,0.0,249.0,0.21053124410742755,False
client1006,627.0,1.0,1112.0,8.0,1112.0,1.0,8.0,0.0,1112.0,0.02860590706836014,False
client10060,187.0,2.0,3340.0,39.0,1670.0,35.0,19.5,0.0,75.0,0.0859206201513695,False
client10061,121.0,5.0,5462.0,16.0,1092.4,9.0,3.2,2.0,159.0,0.14050851115771862,False
client10062,109.0,2.0,5007.0,19.0,2503.5,13.0,9.5,0.0,38.0,0.12880375601733743,False
client10063,80.0,5.0,5198.0,19.0,1039.6,12.0,3.8,0.0,59.0,0.1337171807026403,False
client10064,88.0,1.0,135.0,3.0,135.0,1.0,3.0,0.0,135.0,0.003472839437255953,False
client10065,382.0,2.0,1336.0,13.0,668.0,4.0,6.5,0.0,68.0,0.0343682480605478,False
client10066,399.0,1.0,1422.0,6.0,1422.0,4.0,6.0,4.0,86.0,0.036580575405762705,False
